sku_id,date,qty
SKU-1001,2026-03-19+000,90
SKU-1001,2026-03-19+001,109
SKU-1001,2026-03-19+002,135
SKU-1001,2026-03-19+003,163
SKU-1001,2026-03-19+004,139
SKU-1001,2026-03-19+005,96
SKU-1001,2026-03-19+006,99
SKU-1001,2026-03-19+007,90
SKU-1001,2026-03-19+008,110
SKU-1001,2026-03-19+009,141
SKU-1001,2026-03-19+010,157
SKU-1001,2026-03-19+011,163
SKU-1001,2026-03-19+012,127
SKU-1001,2026-03-19+013,97
SKU-1001,2026-03-19+014,86
SKU-1001,2026-03-19+015,100
SKU-1001,2026-03-19+016,145
SKU-1001,2026-03-19+017,178
SKU-1001,2026-03-19+018,145
SKU-1001,2026-03-19+019,118
SKU-1001,2026-03-19+020,103
SKU-1001,2026-03-19+021,79
SKU-1001,2026-03-19+022,111
SKU-1001,2026-03-19+023,150
SKU-1001,2026-03-19+024,172
SKU-1001,2026-03-19+025,142
SKU-1001,2026-03-19+026,126
SKU-1001,2026-03-19+027,101
SKU-1001,2026-03-19+028,105
SKU-1001,2026-03-19+029,101
SKU-1001,2026-03-19+030,153
SKU-1001,2026-03-19+031,129
SKU-1001,2026-03-19+032,101
SKU-1001,2026-03-19+033,113
SKU-1001,2026-03-19+034,88
SKU-1001,2026-03-19+035,108
SKU-1001,2026-03-19+036,127
SKU-1001,2026-03-19+037,124
SKU-1001,2026-03-19+038,176
SKU-1001,2026-03-19+039,132
SKU-1001,2026-03-19+040,122
SKU-1001,2026-03-19+041,97
SKU-1001,2026-03-19+042,100
SKU-1001,2026-03-19+043,131
SKU-1001,2026-03-19+044,158
SKU-1001,2026-03-19+045,168
SKU-1001,2026-03-19+046,163
SKU-1001,2026-03-19+047,132
SKU-1001,2026-03-19+048,94
SKU-1001,2026-03-19+049,91
SKU-1001,2026-03-19+050,114
SKU-1001,2026-03-19+051,157
SKU-1001,2026-03-19+052,158
SKU-1001,2026-03-19+053,196
SKU-1001,2026-03-19+054,114
SKU-1001,2026-03-19+055,89
SKU-1001,2026-03-19+056,110
SKU-1001,2026-03-19+057,142
SKU-1001,2026-03-19+058,159
SKU-1001,2026-03-19+059,181
SKU-1001,2026-03-19+060,181
SKU-1001,2026-03-19+061,126
