sku_id,supplier_id,unit_cost,lead_time_days
SKU-1001,SUP-A,0.42,9
SKU-1001,SUP-D,0.34,15
SKU-1002,SUP-A,0.61,9
SKU-1002,SUP-D,0.50,15
SKU-1003,SUP-A,0.18,12
SKU-1003,SUP-D,0.15,18
SKU-1004,SUP-A,0.06,7
SKU-1004,SUP-D,0.05,13
SKU-2001,SUP-A,18.50,14
SKU-2001,SUP-D,15.17,20
SKU-2002,SUP-D,52.48,27
SKU-2003,SUP-A,12.75,11
SKU-2003,SUP-D,10.46,17
SKU-2004,SUP-A,9.20,10
SKU-2004,SUP-D,7.54,16
SKU-3001,SUP-A,1.15,5
SKU-3001,SUP-D,0.94,11
SKU-3002,SUP-A,6.80,6
SKU-3002,SUP-D,5.58,12
SKU-3003,SUP-A,14.20,8
SKU-3003,SUP-D,11.64,14
SKU-3004,SUP-A,11.40,6
SKU-3004,SUP-D,9.35,12
